country,labeled_samples,R2_Average,R2_log_Scope1,R2_log_Scope2,R2_log_Scope3_upstream,R2_log_Scope3_downLA,R2_log_Scope3_prod,R2_log_Scope_total
USA,15514,0.7493,0.8637,0.8627,0.9409,0.5971,0.2886,0.9429
CHN,13988,0.6701,0.742,0.7406,0.8952,0.5459,0.2044,0.8926
JPN,11099,0.7128,0.8062,0.837,0.9112,0.6006,0.1981,0.9233
KOR,5476,0.7378,0.8195,0.8751,0.9108,0.6074,0.2944,0.9195
TWN,4315,0.6876,0.7045,0.7972,0.911,0.5768,0.2294,0.9066
IND,3618,0.6116,0.7032,0.5152,0.8649,0.512,0.2431,0.8312
HKG,2678,0.741,0.7169,0.8075,0.8737,0.684,0.4732,0.8905
GBR,2326,0.6616,0.7529,0.7412,0.8853,0.4205,0.2955,0.874
AUS,2220,0.7165,0.7749,0.7639,0.8783,0.5799,0.4294,0.8729
CAN,2115,0.7148,0.7935,0.7453,0.9087,0.4821,0.47,0.8891
FRA,1397,0.7048,0.8348,0.7941,0.8986,0.5915,0.2119,0.8979
SWE,1355,0.6813,0.6775,0.7516,0.8897,0.5107,0.3628,0.8958
DEU,1349,0.7246,0.7884,0.7827,0.8696,0.5608,0.4745,0.8717
MYS,1177,0.6602,0.7396,0.6483,0.8165,0.4456,0.4729,0.8381
THA,1155,0.6683,0.7278,0.6992,0.8402,0.6918,0.2476,0.8029
CHE,1031,0.7317,0.8273,0.7947,0.8701,0.613,0.4002,0.8849
BRA,1020,0.605,0.7582,0.5468,0.828,0.3602,0.2966,0.8402
IDN,942,0.665,0.7772,0.5877,0.9059,0.6674,0.1732,0.8788
SGP,817,0.6362,0.5618,0.5826,0.8521,0.6158,0.3922,0.8129
SAU,806,0.7787,0.8825,0.8696,0.8976,0.6011,0.5053,0.9162
ISR,784,0.6622,0.8104,0.6693,0.8148,0.3275,0.5183,0.8329
ZAF,713,0.6213,0.7632,0.7596,0.7606,0.4809,0.1657,0.798
ITA,683,0.7139,0.8537,0.8279,0.8884,0.5599,0.2546,0.8989
TUR,614,0.4725,0.465,0.5452,0.6343,0.4631,0.2383,0.489
NOR,486,0.6254,0.7445,0.5534,0.7685,0.4356,0.4665,0.7839
NLD,444,0.6066,0.5572,0.44,0.8547,0.6747,0.2788,0.8345
ESP,437,0.6534,0.6857,0.7523,0.7564,0.6421,0.2754,0.8086
MEX,413,0.6057,0.76,0.6385,0.8048,0.2757,0.3782,0.7767
PHL,398,0.593,0.6099,0.6699,0.7475,0.4506,0.4089,0.671
POL,352,0.476,0.595,0.4573,0.5712,0.3305,0.3403,0.5618
FIN,346,0.7268,0.7636,0.8151,0.843,0.6211,0.4493,0.8688
BEL,324,0.6217,0.7855,0.7407,0.8132,0.0409,0.5094,0.8402
NZL,307,0.4438,0.3723,0.1824,0.765,0.4202,0.2611,0.662
PAK,303,0.6713,0.8082,0.4003,0.7535,0.7142,0.5381,0.8135
DNK,291,0.6045,0.7523,0.6699,0.6786,0.4008,0.411,0.7147
IRL,288,0.6592,0.7588,0.6863,0.8434,0.6499,0.1655,0.8513
RUS,257,0.6123,0.7731,0.7626,0.7214,0.6849,0.0515,0.6805
ARE,236,0.4591,0.72,0.4879,0.5355,0.0399,0.3673,0.6038
BMU,232,0.5165,0.7749,0.2555,0.6997,0.5277,0.0828,0.7585
CHL,232,0.6422,0.9109,0.5828,0.8506,0.2927,0.3381,0.8778
AUT,200,0.6474,0.8183,0.6663,0.7367,0.5002,0.4023,0.7608
GRC,199,0.4807,0.692,0.3281,0.5286,0.245,0.4302,0.6603
KWT,191,0.6579,0.7779,0.636,0.764,0.4507,0.5512,0.7678
EGY,189,0.3056,0.2867,0.1647,0.1019,0.6315,0.4874,0.1615
LUX,179,0.5322,0.8062,0.6876,0.7758,-0.0413,0.2002,0.7646
QAT,162,0.5662,0.7973,0.5313,0.5259,0.3846,0.5336,0.6245
CYM,145,0.2998,0.4202,0.3559,0.4384,0.5029,-0.1288,0.2103
VNM,113,0.6264,0.7236,0.8181,0.8611,0.5032,0.0774,0.7746
NGA,91,0.3419,0.4126,-0.3512,0.3096,0.8197,0.3541,0.5068
COL,90,0.8107,0.8803,0.8115,0.9149,0.4967,0.8487,0.9122
PER,87,0.6474,0.8645,0.7507,0.8412,0.7462,-0.1968,0.8785
PRT,80,0.4361,0.6618,0.1452,0.3946,0.388,0.5476,0.4791
MAR,66,0.1094,0.9498,0.9315,-2.1113,-0.1546,0.7099,0.3312
KEN,52,0.629,0.8865,0.6096,0.5513,0.8944,0.1472,0.6853
ARG,50,-0.1329,0.901,0.5933,0.5404,-4.2099,0.5889,0.7888
