country,labeled_samples,R2_Average_A,R2_log_Scope1_A,R2_log_Scope2_A,R2_log_Scope3_upstream_A,R2_log_Scope3_downLA_A,R2_log_Scope3_prod_A,R2_log_Scope_total_A,R2_Average_CT,R2_log_Scope1_CT,R2_log_Scope2_CT,R2_log_Scope3_upstream_CT,R2_log_Scope3_downLA_CT,R2_log_Scope3_prod_CT,R2_log_Scope_total_CT
USA,15514,0.9046520166357792,0.9403383550565104,0.9458956980572522,0.9824713793046363,0.7339064425572457,0.8440629618562123,0.9812372629828175,0.7493161556914948,0.863662556059599,0.8626916814928748,0.9409133966535158,0.5971405890324162,0.2885667703121192,0.9429219405984438
CHN,13988,0.8820840618530777,0.885432301152884,0.8710987770525174,0.9655172311387163,0.7843810084633807,0.8372641654910544,0.9488108878199132,0.6701455394150968,0.742039957197614,0.7406248755600566,0.8952073818467895,0.5459197143428232,0.2044357813515583,0.8926455261917394
JPN,11099,0.876394455019685,0.8991971271772576,0.9152983792682546,0.97815302791936,0.6951000784430479,0.7983887650137852,0.9722293522964058,0.7127552461126306,0.8062041788783741,0.837029549500028,0.9112093968044376,0.6006388214891913,0.1981027661836933,0.9233467638200596
KOR,5476,0.8772892507364701,0.9083935999913378,0.9462251158207812,0.9766564969059028,0.6822138867506085,0.7773483621864994,0.9728980427636909,0.7377857522657222,0.8194556399475834,0.8750979389681863,0.9108458614856584,0.6074220812400517,0.294373397930087,0.919519594022766
TWN,4315,0.832302237501351,0.8337863531416796,0.8681928108338257,0.9724720099825426,0.6721092316817883,0.7050055418791072,0.9422474774891628,0.6875627439391984,0.7044599002655849,0.7971526857756546,0.9110267714428136,0.5767627141519625,0.2294180939577804,0.9065562980413936
IND,3618,0.8456624739861524,0.8853967574711108,0.8066057981956756,0.9485503449362208,0.6981674200321619,0.7991908354262768,0.9360636878554676,0.6116051728450954,0.7032148320139271,0.5151821567407688,0.864939837477925,0.5119878234010642,0.2431431612008386,0.8311632262360487
HKG,2678,0.8771622031436305,0.8706509762661525,0.90016113789521,0.9454761982044468,0.7798434214467109,0.8183564110902466,0.9484850739590152,0.7409823846777921,0.7169093296103524,0.8075156486412876,0.873743543454183,0.6839924904488066,0.4732339705571166,0.8904993253550062
GBR,2326,0.8264754767912755,0.8852833119335186,0.8921338424036718,0.9683684416543096,0.5705833975831954,0.6810616719216347,0.9614221952513238,0.6615592997314746,0.752907629399872,0.7411655865267535,0.8853140131668102,0.4204791904943787,0.2954587917674225,0.8740305870336109
AUS,2220,0.8467581724696478,0.8366942701672085,0.8609698068373811,0.9598303583744492,0.7862072551759158,0.7033976146020161,0.933449729660916,0.7165427649588999,0.7748911013923562,0.7639027457621889,0.8782649687201298,0.5799131597938283,0.4293996204050126,0.8728849936798838
CAN,2115,0.865980810501652,0.9084047199500604,0.8495452090041091,0.9673467155153244,0.7579694869482017,0.7622995424089126,0.9503191891833028,0.7147758874138735,0.7934844702960394,0.7453028692023367,0.9087482257652107,0.4820715393465826,0.4699525520074218,0.88909566786565
FRA,1397,0.8619888287399591,0.9252112753420528,0.8892827330974485,0.969855456195812,0.6387370162631507,0.7786828787650222,0.9701636127762686,0.7048257722326801,0.8348063311359986,0.7941141869773471,0.8986413852922656,0.5915299320560956,0.2119256842762508,0.897937113658123
SWE,1355,0.8220876780419196,0.8328259560810032,0.8368766715661489,0.9706271709631668,0.5794266302257323,0.7497086930014707,0.9630609464139954,0.681339342239425,0.6774688556044344,0.7516108638589317,0.8896837733386298,0.5106991261382055,0.3627985906560698,0.8957748438402788
DEU,1349,0.8942693800293472,0.929787236038284,0.9318011885354796,0.9785467526941036,0.7767891581975241,0.7676694263678884,0.981022518342804,0.7245998739795884,0.7884161589933321,0.7827330218796429,0.869553267031314,0.5607552280943912,0.4744729524235442,0.8716686154553059
MYS,1177,0.8362876935563196,0.7834421088262953,0.7636531397386896,0.9560798356375352,0.8056906763423414,0.807294130652834,0.901566270140222,0.6601547095343379,0.7395633870265534,0.648305037964813,0.8164918213043221,0.4456381217797192,0.4728622647995457,0.8380676243310736
