country,labeled_samples,R2_Average_C,R2_log_Scope1_C,R2_log_Scope2_C,R2_log_Scope3_upstream_C,R2_log_Scope3_downLA_C,R2_log_Scope3_prod_C,R2_log_Scope_total_C,R2_Average_CT,R2_log_Scope1_CT,R2_log_Scope2_CT,R2_log_Scope3_upstream_CT,R2_log_Scope3_downLA_CT,R2_log_Scope3_prod_CT,R2_log_Scope_total_CT
USA,15514,0.8220694959163666,0.8670847415924072,0.8693466782569885,0.9376733303070068,0.5852231383323669,0.7309411764144897,0.9421479105949402,0.7493161556914948,0.863662556059599,0.8626916814928748,0.9409133966535158,0.5971405890324162,0.2885667703121192,0.9429219405984438
CHN,13988,0.7784601151943207,0.771484375,0.7623534202575684,0.8989489078521729,0.5798900723457336,0.7500518560409546,0.9080320596694946,0.6701455394150968,0.742039957197614,0.7406248755600566,0.8952073818467895,0.5459197143428232,0.2044357813515583,0.8926455261917394
JPN,11099,0.7987417976061503,0.8225595951080322,0.8465181589126587,0.9032269716262816,0.5404421091079712,0.7560477256774902,0.9236562252044678,0.7127552461126306,0.8062041788783741,0.837029549500028,0.9112093968044376,0.6006388214891913,0.1981027661836933,0.9233467638200596
KOR,5476,0.8409743507703146,0.8688944578170776,0.8840028047561646,0.9115723967552184,0.6669963598251343,0.7819819450378418,0.9323981404304504,0.7377857522657222,0.8194556399475834,0.8750979389681863,0.9108458614856584,0.6074220812400517,0.294373397930087,0.919519594022766
TWN,4315,0.7910990417003632,0.7716333866119385,0.8170634508132935,0.9213171005249025,0.5800683498382568,0.7339144945144653,0.9225974678993224,0.6875627439391984,0.7044599002655849,0.7971526857756546,0.9110267714428136,0.5767627141519625,0.2294180939577804,0.9065562980413936
IND,3618,0.7340360581874847,0.7440422773361206,0.6036664247512817,0.8961769342422485,0.574443519115448,0.7199360132217407,0.8659511804580688,0.6116051728450954,0.7032148320139271,0.5151821567407688,0.864939837477925,0.5119878234010642,0.2431431612008386,0.8311632262360487
HKG,2678,0.8452097674210867,0.7987033128738403,0.8598377704620361,0.9027948975563048,0.7709184885025024,0.813318133354187,0.9256860017776488,0.7409823846777921,0.7169093296103524,0.8075156486412876,0.873743543454183,0.6839924904488066,0.4732339705571166,0.8904993253550062
GBR,2326,0.8130653500556946,0.8250535130500793,0.8095515966415405,0.9289736151695251,0.6867262721061707,0.7079899311065674,0.9200971722602844,0.6615592997314746,0.752907629399872,0.7411655865267535,0.8853140131668102,0.4204791904943787,0.2954587917674225,0.8740305870336109
AUS,2220,0.8267097175121307,0.8105267882347107,0.8078128099441528,0.9025139212608336,0.7351288199424744,0.8004575371742249,0.903818428516388,0.7165427649588999,0.7748911013923562,0.7639027457621889,0.8782649687201298,0.5799131597938283,0.4293996204050126,0.8728849936798838
CAN,2115,0.8504515389601389,0.8746427893638611,0.8604235649108887,0.9412853121757508,0.7577943205833435,0.7236401438713074,0.9449231028556824,0.7147758874138735,0.7934844702960394,0.7453028692023367,0.9087482257652107,0.4820715393465826,0.4699525520074218,0.88909566786565
