country,labeled_samples,best_model_R2_Average,best_r2_R2_Average,best_model_R2_log_Scope1,best_r2_R2_log_Scope1,best_model_R2_log_Scope2,best_r2_R2_log_Scope2,best_model_R2_log_Scope3_upstream,best_r2_R2_log_Scope3_upstream,best_model_R2_log_Scope3_downLA,best_r2_R2_log_Scope3_downLA,best_model_R2_log_Scope3_prod,best_r2_R2_log_Scope3_prod,best_model_R2_log_Scope_total,best_r2_R2_log_Scope_total
USA,15514,A_star,0.9046520166357792,A_star,0.9403383550565104,A_star,0.9458956980572522,A_star,0.9824713793046363,A_star,0.7339064425572457,A_star,0.8440629618562123,A_star,0.9812372629828175
CHN,13988,A_star,0.8820840618530777,A_star,0.885432301152884,A_star,0.8710987770525174,A_star,0.9655172311387163,A_star,0.7843810084633807,A_star,0.8372641654910544,A_star,0.9488108878199132
JPN,11099,A_star,0.876394455019685,A_star,0.8991971271772576,A_star,0.9152983792682546,A_star,0.97815302791936,A_star,0.6951000784430479,A_star,0.7983887650137852,A_star,0.9722293522964058
KOR,5476,A_star,0.8772892507364701,A_star,0.9083935999913378,A_star,0.9462251158207812,A_star,0.9766564969059028,A_star,0.6822138867506085,C_dev,0.7931140661239624,A_star,0.9728980427636909
TWN,4315,A_star,0.832302237501351,A_star,0.8337863531416796,A_star,0.8681928108338257,A_star,0.9724720099825426,A_star,0.6721092316817883,C_dev,0.741940975189209,A_star,0.9422474774891628
IND,3618,A_star,0.8456624739861524,A_star,0.8853967574711108,A_star,0.8066057981956756,A_star,0.9485503449362208,A_star,0.6981674200321619,A_star,0.7991908354262768,A_star,0.9360636878554676
HKG,2678,A_star,0.8771622031436305,A_star,0.8706509762661525,A_star,0.90016113789521,A_star,0.9454761982044468,A_star,0.7798434214467109,C_dev,0.8241443634033203,A_star,0.9484850739590152
GBR,2326,A_star,0.8264754767912755,A_star,0.8852833119335186,A_star,0.8921338424036718,A_star,0.9683684416543096,C_dev,0.687995433807373,C,0.7079899311065674,A_star,0.9614221952513238
AUS,2220,A_star,0.8467581724696478,A_star,0.8366942701672085,A_star,0.8609698068373811,A_star,0.9598303583744492,A_star,0.7862072551759158,C_dev,0.8019179701805115,A_star,0.933449729660916
CAN,2115,A_star,0.865980810501652,A_star,0.9084047199500604,C,0.8604235649108887,A_star,0.9673467155153244,A_star,0.7579694869482017,A_star,0.7622995424089126,A_star,0.9503191891833028
FRA,1397,A_star,0.8619888287399591,A_star,0.9252112753420528,A_star,0.8892827330974485,A_star,0.969855456195812,C,0.6445832252502441,A_star,0.7786828787650222,A_star,0.9701636127762686
SWE,1355,A_star,0.8220876780419196,A_star,0.8328259560810032,A_star,0.8368766715661489,A_star,0.9706271709631668,C,0.71019446849823,C,0.7806262373924255,A_star,0.9630609464139954
DEU,1349,A_star,0.8942693800293472,A_star,0.929787236038284,A_star,0.9318011885354796,A_star,0.9785467526941036,A_star,0.7767891581975241,A_star,0.7676694263678884,A_star,0.981022518342804
MYS,1177,A_star,0.8362876935563196,C_dev,0.8288257718086243,C_dev,0.8095017075538635,A_star,0.9560798356375352,A_star,0.8056906763423414,A_star,0.807294130652834,C_dev,0.9069113731384276
THA,1155,A_star,0.8910162173378652,A_star,0.9356617649180304,A_star,0.8037574459779827,A_star,0.9678432004757384,A_star,0.7964568686451178,C_dev,0.9101170897483826,A_star,0.9632431804836624
CHE,1031,A_star,0.8620741729689861,A_star,0.913616706215234,A_star,0.8989249282053062,A_star,0.975793843920572,A_star,0.6479186726868318,C_dev,0.8284907937049866,A_star,0.978347079324816
BRA,1020,C,0.8070773283640543,C,0.874413251876831,A_star,0.7948713623361623,A_star,0.9468192775144838,C_dev,0.7153236865997314,C,0.6787096261978149,A_star,0.9411255611401308
IDN,942,A_star,0.842390076846587,C_dev,0.8634512424468994,C_dev,0.7654187083244324,C_dev,0.9509512782096864,A_star,0.7460234177129565,C,0.873494565486908,C_dev,0.9273079633712769
SGP,817,A_star,0.8102381778806887,A_star,0.8047135284902882,A_star,0.7838311423285034,A_star,0.9616675531766014,C,0.7293206453323364,C_dev,0.7877068519592285,A_star,0.918905710475871
SAU,806,A_star,0.9177843905644018,A_star,0.94612541817171,A_star,0.931067415405236,A_star,0.967720518310328,C,0.8439328670501709,A_star,0.8896476195745622,A_star,0.9699257830645402
ISR,784,C,0.8705805937449137,C_dev,0.90635746717453,D_full,0.8548859357833862,A_star,0.944042249998446,C,0.8644376993179321,A_star,0.7937900189703411,C_dev,0.9513294100761414
ZAF,713,C,0.8561119139194489,A_star,0.9183816956256092,A_star,0.935300094971335,A_star,0.9567106432662276,C,0.6700946092605591,C_dev,0.8146910667419434,A_star,0.9516295146387668
ITA,683,C,0.8688125113646189,A_star,0.9355639439506458,A_star,0.9322092370143434,A_star,0.9775008993143696,C,0.6766662001609802,C,0.852806031703949,A_star,0.9819404106312262
TUR,614,C,0.8345339894294739,C,0.8623225092887878,A_star,0.8089483531435817,A_star,0.9265316361761372,C,0.7603328824043274,C,0.8253461122512817,C,0.8893132209777832
NOR,486,C,0.840061237414678,C,0.8541366457939148,A_star,0.7873751410730827,A_star,0.9403103576154548,C,0.8055390119552612,C,0.7962498664855957,A_star,0.9362424838759944
NLD,444,C_dev,0.8333209554354349,A_star,0.8215755839012809,C_dev,0.7142531871795654,A_star,0.9631889576197676,C_dev,0.7380552291870117,C_dev,0.8791040778160095,A_star,0.9583200544297008
ESP,437,A_star,0.8378761031582139,A_star,0.8738389183058557,A_star,0.8713878454885478,A_star,0.917248285619386,C,0.7412368059158325,C_dev,0.8016418218612671,A_star,0.949199249941986
MEX,413,C,0.8468525409698486,A_star,0.9073673306271892,A_star,0.8176676567471158,C,0.9678771495819092,C,0.8056355714797974,C,0.7416753172874451,A_star,0.9057345916632602
PHL,398,C,0.8451452155907949,A_star,0.873596749774575,C_dev,0.8893052339553833,A_star,0.943220540954984,C,0.6812893152236938,C,0.8645331859588623,C_dev,0.9112240076065063
